id;creation_date;name;email;feedback
1;2021-10-26;system Web Rufiyaa;Milo_Weber@yahoo.com;../fake-data/blob/hipster.txt
2;2021-10-26;platforms Maine Product;Florine.Fahey@hotmail.com;../fake-data/blob/hipster.txt
3;2021-10-26;Senior;Carmella1@hotmail.com;../fake-data/blob/hipster.txt
4;2021-10-26;magenta Sleek;Mathew.Hansen75@hotmail.com;../fake-data/blob/hipster.txt
5;2021-10-26;Shoes indexing Borders;Kylee.Collins71@yahoo.com;../fake-data/blob/hipster.txt
6;2021-10-26;invoice Malawi leverage;Liliana.Erdman@yahoo.com;../fake-data/blob/hipster.txt
7;2021-10-26;Rubber;Leif.Upton4@gmail.com;../fake-data/blob/hipster.txt
8;2021-10-25;projection bypassing;Demond.Kulas@hotmail.com;../fake-data/blob/hipster.txt
9;2021-10-26;navigate;Fleta.Hilpert60@yahoo.com;../fake-data/blob/hipster.txt
10;2021-10-26;plum New;Marjorie.Bergstrom@gmail.com;../fake-data/blob/hipster.txt
